filename,Descriptors__MaxAbsEStateIndex,Descriptors__MinAbsEStateIndex,Descriptors__MinEStateIndex,Descriptors__qed,Descriptors__SPS,Descriptors__MaxPartialCharge,Descriptors__MinPartialCharge,Descriptors__BCUT2D_MWHI,Descriptors__BCUT2D_LOGPLOW,Descriptors__BCUT2D_MRLOW,Descriptors__AvgIpc,Descriptors__BalabanJ,Descriptors__BertzCT,Descriptors__Chi4v,Descriptors__Ipc,Descriptors__Kappa2,Descriptors__PEOE_VSA6,Descriptors__PEOE_VSA7,Descriptors__PEOE_VSA9,Descriptors__SMR_VSA10,Descriptors__SMR_VSA2,Descriptors__SMR_VSA6,Descriptors__SMR_VSA7,Descriptors__SlogP_VSA1,Descriptors__SlogP_VSA12,Descriptors__SlogP_VSA3,Descriptors__SlogP_VSA6,Descriptors__EState_VSA10,Descriptors__EState_VSA8,Descriptors__VSA_EState10,Descriptors__VSA_EState5,Descriptors__VSA_EState6,Descriptors__VSA_EState8,Descriptors__FractionCSP3,Descriptors__NHOHCount,Descriptors__fr_Al_COO,Descriptors__fr_C_O_noCOO,Descriptors3D__Eccentricity,Descriptors3D__InertialShapeFactor,Descriptors3D__NPR2,Descriptors3D__PMI1,Descriptors3D__PMI2,Descriptors3D__SpherocityIndex
CHCl3,6.233796296,1.833333333,-1.833333333,0.427859176,15.25,0.180106635,-0.087411528,35.58227356,-1.545926292,1.960652685,0.721928095,3.023715784,22.36452798,0.0,3.609640474,2.128397933,34.80281967,0.0,1.370758556,34.80281967,0.0,0.0,0.0,0.0,34.80281967,0.0,0.0,0.0,0.0,14.18287037,0.0,0.0,0.0,1.0,0,0,0,0.855225102,0.00325973,0.518455168,159.0485205,159.1094233,0.565270427
CYH,7.389583333,3.529166667,-3.529166667,0.422316187,104.0,0.026652986,-0.053305973,14.014,-1.8549,0.504,2.139837841,3.716516377,247.7052751,0.1875,2781.789193,2.222222222,38.23754941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.821292767,0.004843805,0.571000988,117.8827349,117.9848152,0.439687861
DBE,7.991494237,0.784093017,-3.305690783,0.73120069,25.33333333,0.072096641,-0.37209674,16.47334155,-1.928075934,0.106935367,2.598389781,2.683923922,861.2741721,0.729639663,860586.6954,5.322711058,60.42418708,11.12690298,32.30859027,0.0,0.0,0.0,71.55109006,0.0,0.0,17.85483344,60.42418708,0.0,0.0,0.0,0.0,-8.86556981,-6.611381567,0.142857143,0,0,0,0.978748036,0.002382323,0.879843376,369.3216212,1584.584205,0.200077959
DCB,7.215185185,0.136419753,-0.366296296,0.528586339,16.25,0.063895014,-0.082713195,35.49826032,-1.618361442,1.708880921,2.081571824,3.603567451,231.8128652,0.470973355,416.3143648,2.3818409,35.2867172,12.08483742,15.52830085,23.20187978,0.0,0.0,34.21494146,0.0,23.20187978,0.0,24.16967483,0.0,0.0,11.03481481,0.0,-1.338765432,0.0,0.0,0,0,0,0.9038756,0.002136565,0.57220493,267.8153517,358.2209305,7.36e-07
DDE,7.944557823,1.657405217,-4.689220758,0.34551355,51.0,0.056959607,-0.103082979,13.95367087,-1.790271405,0.577538003,2.642520575,7.205619803,848.812966,0.25,3851862.188,10.74,57.51443817,12.7458498,4.112275669,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,0.0,-1.797886398,-5.606904082,0.833333333,0,0,0,0.999802685,0.014781553,0.989510353,66.94224563,3334.624361,0.059470184
DE,8.032590689,4.083550558,-4.934526339,0.353716487,53.88235294,0.056654498,-0.381452449,16.47286761,-1.967710451,0.125388753,2.846570254,7.354494887,1161.683497,0.377577591,1304864141.0,15.96,77.43303325,12.7458498,5.483034225,0.0,0.0,13.11797049,0.0,0.0,0.0,4.736862954,0.0,0.0,4.736862954,0.0,0.0,0.0,-17.99700939,1.0,0,0,0,0.999943114,0.009987957,0.994913376,99.61129658,9291.439622,0.033742979
DPE,7.724480348,0.60228647,-0.664063681,0.670036385,20.30769231,0.126927749,-0.457384598,16.48049519,-1.809828901,0.482496726,2.536932571,2.712767403,690.9545331,0.681186218,89046.33324,3.764211048,36.25451225,24.16967483,13.70758556,0.0,0.0,0.0,60.42418708,4.736862954,0.0,0.0,60.42418708,0.0,0.0,0.0,-1.20457294,-6.470801629,0.0,0.0,0,0,0,0.985176403,0.004416181,0.943412627,213.6263579,1174.843917,0.241831855
ESE,8.267446077,1.815825641,-5.305176436,0.18802741,53.0,0.056959607,-0.103082979,14.0009025,-1.831053794,0.529761481,3.013958561,7.941044799,1606.554603,0.5,62204559580.0,18.74,108.4978374,12.7458498,4.112275669,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,0.0,-1.976136015,-5.984377641,0.9,0,0,0,0.999963501,0.007612787,0.997079151,130.9742656,15284.92379,0.029283693
HD,8.148257984,4.109026336,-5.130312264,0.314904724,56.5,0.026652986,-0.065382383,13.98776473,-1.820880253,0.538019747,2.850675916,7.699785058,1138.512323,0.375,888504556.2,15.0,102.9247329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.218052673,1.0,0,0,0,0.999927162,0.010151622,0.994310083,97.94593604,8069.050804,0.038317679
HDE,8.138947284,1.75389754,-5.058170417,0.255573929,52.25,0.056959607,-0.103082979,13.98453007,-1.817973134,0.544675155,2.851945682,7.646661308,1218.840991,0.375,494663541.8,14.74,83.00613778,12.7458498,4.112275669,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,0.0,-1.907555012,-5.838779116,0.875,0,0,0,0.999922465,0.0101637,0.995575573,97.95404963,7831.439249,0.043525097
MXY,7.592824074,0.788657407,-2.863425926,0.475757685,30.5,0.06283108,-0.061740871,13.8660978,-1.709763566,1.386522421,2.094153149,3.83454349,439.1168761,0.34375,3635.449866,1.993744712,35.29657781,13.70378423,5.483034225,0.0,0.0,0.0,35.29657781,0.0,0.0,0.0,24.16967483,0.0,0.0,0.0,0.0,-3.249768519,-5.726851852,0.25,0,0,0,0.942279954,0.004790463,0.680102099,141.9700006,288.3709127,0.078350077
ODE,8.209139526,1.787912716,-5.192810138,0.216374714,52.66666667,0.056959607,-0.103082979,13.9937663,-1.825576324,0.535953363,2.937498338,7.807184724,1410.752135,0.4375,5557819363.0,16.74,95.75198758,12.7458498,4.112275669,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,12.58311071,0.0,0.0,0.0,0.0,-1.94539707,-5.919040732,0.888888889,0,0,0,0.999948663,0.008788586,0.996460528,113.3812063,11150.05816,0.036077479
