Z_product,Z_joint,Z_ops,T_inj,T_rea,t,alpha_inorg,beta_inorg,alpha_org,beta_org,Size
1.6293457,-1.9020689,-0.7271403,240.0,240.0,2.85,0.7683023,0.23169768,0.70254433,0.29745567,2.8
3.4573393,0.47465962,-0.71816206,100.0,240.0,30.0,0.8037603,0.19623971,0.71965075,0.28034928,7.5
-0.19925074,-0.44909027,0.033473663,180.0,180.0,0.5,0.79702383,0.20297618,0.6935622,0.3064378,10.27
-1.9349736,-0.40090647,-1.0416892,25.0,280.0,30.0,0.80502117,0.19497882,0.75705624,0.24294376,24.73
-2.482947,-1.7697777,-1.1485783,220.0,220.0,240.0,0.85585773,0.14414226,0.46948043,0.5305196,12.86
1.1545055,-0.9646884,-1.3501378,180.0,180.0,60.0,0.8174826,0.18251744,0.639891,0.36010894,7.4700003
-0.07247263,-1.5200942,1.3847346,60.0,60.0,5.0,0.8489301,0.15106988,0.6668968,0.33310315,3.26
0.015542014,-0.7528653,-0.16208984,25.0,170.0,180.0,0.8754883,0.12451176,0.56926656,0.43073344,35.6
-1.7090745,-0.4799005,-0.049044244,180.0,190.0,0.0167,0.7938818,0.20611826,0.6987434,0.3012566,12.59
0.84679663,-1.7399827,-0.42556405,160.0,130.0,60.0,0.8337156,0.16628434,0.6200854,0.37991458,3.8999999
1.9533007,-0.8105634,1.2506335,88.0,88.0,2.5,0.83745223,0.16254783,0.674519,0.325481,2.4599998
0.22497924,-1.0571429,1.3282675,75.0,75.0,2.0,0.84237933,0.1576207,0.67248034,0.32751966,4.2799997
-1.2582397,-1.3268082,-1.1539118,110.0,220.0,60.0,0.8178723,0.18212765,0.68175566,0.31824437,12.42
2.084927,-1.249507,-1.6047097,180.0,240.0,60.0,0.8005808,0.19941925,0.6704167,0.32958323,9.2
0.4368487,0.29626676,-1.5501704,25.0,290.0,60.0,0.8124612,0.18753888,0.7383004,0.26169962,16.93
0.71945286,-1.0529023,-1.3501378,180.0,180.0,60.0,0.8174826,0.18251744,0.639891,0.36010894,11.0
-0.53678554,-1.3324909,-0.9693755,260.0,260.0,0.333,0.7567793,0.24322072,0.70828485,0.29171512,11.8
-4.418028,-1.6000725,0.8717031,25.0,120.0,15.0,0.8424653,0.1575347,0.69785863,0.30214134,13.28
-0.12279551,-0.96210045,-1.511874,25.0,320.0,60.0,0.80397946,0.19602057,0.75114775,0.24885225,9.92
-0.7967495,-1.0428014,-1.511874,25.0,320.0,60.0,0.80397946,0.19602057,0.75114775,0.24885225,10.2
-0.60894513,-1.2579623,-0.72240233,160.0,230.0,10.0,0.78904665,0.2109534,0.7147396,0.28526035,11.06
-0.4452201,0.29267457,-1.1180117,25.0,290.0,30.0,0.8021418,0.19785817,0.76117593,0.2388241,25.3
-0.23518248,-1.519552,-1.3531278,25.0,250.0,180.0,0.8586886,0.14131142,0.61280024,0.38719973,11.2
0.14382733,-1.275167,0.08967273,25.0,240.0,5.0,0.8077816,0.19221845,0.75917125,0.24082872,6.9500003
1.1545055,-0.4794816,-1.2540947,200.0,200.0,60.0,0.80865633,0.19134368,0.6438886,0.35611138,12.97
0.723166,-0.81070507,-1.5434659,25.0,280.0,60.0,0.8152249,0.18477511,0.733924,0.266076,11.88
1.43909,-1.0661216,0.6574877,150.0,150.0,10.0,0.8139567,0.18604335,0.6796386,0.32036138,5.9
1.8080336,1.6549593,0.2415279,105.0,105.0,180.0,0.8789555,0.12104453,0.50543475,0.49456525,13.690001
-0.41446418,-1.1265429,1.1385438,100.0,100.0,20.0,0.83797604,0.16202392,0.6610491,0.33895084,6.2000003
-0.66834706,-1.0642627,-1.0371373,25.0,190.0,180.0,0.8714562,0.12854375,0.58027905,0.41972092,9.59
3.6051545,-0.5914522,-0.7341631,250.0,230.0,20.0,0.7762808,0.22371913,0.6799071,0.3200929,2.4999998
1.1545055,-0.4989951,-0.5757775,220.0,220.0,10.0,0.7811949,0.21880506,0.6927441,0.30725592,12.400001
-2.3905869,-0.6978613,-1.1808407,330.0,330.0,360.0,0.8490598,0.15094024,0.37413543,0.62586457,18.0
0.9524719,-1.212203,1.1195171,110.0,110.0,0.083,0.82780606,0.17219396,0.6808441,0.31915593,2.6000001
0.59674144,-1.5027556,-0.55685925,200.0,190.0,15.0,0.79576385,0.20423622,0.67977285,0.32022712,9.71
-0.41446418,-1.1162071,0.018975645,120.0,120.0,60.0,0.8420588,0.15794118,0.62778324,0.37221676,8.0
1.7623365,-1.2974741,0.7724359,150.0,150.0,3.0,0.8116009,0.18839905,0.6858039,0.31419608,2.2
0.27108344,-1.2622453,1.4381326,40.0,40.0,0.0167,0.8548669,0.14513311,0.66753453,0.33246547,4.5
-0.30550376,-1.0796912,1.3019699,80.0,80.0,2.0,0.84044176,0.15955825,0.67343724,0.32656282,7.5
2.5974307,-1.5966171,-1.5276182,300.0,300.0,10.0,0.7389116,0.26108834,0.70734894,0.29265106,3.76
-1.7423922,-0.85116607,-1.5099229,240.0,240.0,60.0,0.7900357,0.20996428,0.65182346,0.3481766,23.24
2.4773784,-1.3220587,0.15116912,25.0,150.0,120.0,0.86461633,0.1353837,0.6172206,0.38277945,1.6999996
-0.44119453,-0.82413334,-0.07217173,200.0,200.0,0.0166,0.78728646,0.21271355,0.69766057,0.3023394,17.8
0.12961115,-1.1713613,-0.634639,215.0,215.0,20.0,0.78739256,0.21260746,0.68308175,0.31691825,7.5
-1.8619633,-1.5304693,-1.7170017,150.0,285.0,30.0,0.7814067,0.21859327,0.7261035,0.27389655,11.07
0.84679663,-0.72189736,1.1278908,110.0,110.0,10.0,0.83090985,0.16909012,0.6720187,0.32798126,6.28
0.9524719,-1.5955586,0.64475393,165.0,165.0,1.0,0.8041541,0.19584595,0.6903486,0.30965132,2.7
0.027593507,-1.5031015,-1.1079285,250.0,250.0,30.0,0.7737754,0.22622462,0.68086356,0.3191364,7.8
2.084927,-1.2112004,0.073205575,130.0,130.0,90.0,0.8469574,0.15304267,0.60095125,0.39904875,3.5000002
0.59674144,-0.18800098,-1.1374263,25.0,200.0,60.0,0.836206,0.16379397,0.6972812,0.30271876,16.0
0.85663676,-1.5874964,1.2832755,60.0,80.0,15.0,0.84707797,0.15292202,0.6678732,0.33212677,2.3000004
1.1545055,-0.49646842,0.41992128,160.0,160.0,10.0,0.8095188,0.19048113,0.6815289,0.31847107,11.09
1.1577964,-1.0212059,-0.9148487,120.0,190.0,60.0,0.8243249,0.17567508,0.66383415,0.33616585,9.55
1.7428236,0.059968047,-0.3236459,170.0,170.0,120.0,0.8403881,0.15961193,0.5798672,0.42013285,11.0
3.3381593,-1.0585941,0.09691146,60.0,90.0,60.0,0.85731214,0.1426879,0.6313786,0.36862138,4.5
-1.5108422,-1.648348,-0.6703084,240.0,240.0,0.167,0.7672444,0.23275563,0.70481914,0.2951809,12.67
3.6051545,-0.93964356,-0.5263343,240.0,210.0,20.0,0.7843851,0.2156149,0.6730736,0.32692638,1.9500005
3.6051545,-0.713909,-0.003825408,180.0,180.0,2.0,0.79756,0.20244002,0.6922644,0.30773565,2.2
-2.6857946,-1.6245362,0.9733883,130.0,130.0,5.0,0.82097256,0.17902744,0.68027836,0.31972167,8.66
-1.7335377,-1.129636,-0.16550118,25.0,240.0,15.0,0.8111921,0.1888079,0.75165904,0.248341,16.8
0.20425926,-1.5311157,-1.7170017,150.0,285.0,30.0,0.7814067,0.21859327,0.7261035,0.27389655,8.94
1.976955,-0.08298599,0.32467175,85.0,85.0,180.0,0.8850001,0.11499986,0.50108725,0.49891275,7.65
0.9524719,0.5113295,1.436659,25.0,25.0,1.0,0.8604497,0.13955031,0.66374177,0.33625823,12.8
-3.256619,0.11281671,0.41992128,160.0,160.0,10.0,0.8095188,0.19048113,0.6815289,0.31847107,12.28
-1.0048336,-1.4571466,-0.072173744,200.0,200.0,0.0167,0.78728646,0.2127135,0.6976605,0.3023395,7.11
0.9524719,-1.590169,0.7105216,25.0,150.0,2.0,0.831067,0.16893299,0.7226352,0.27736482,3.4000003
-3.4984875,-1.6374015,1.1167634,110.0,110.0,0.5,0.8279375,0.17206255,0.6804755,0.31952447,13.650001
-1.6978815,-0.88251305,-1.5151782,215.0,285.0,14.16,0.7629037,0.23709628,0.7209997,0.27900028,11.0
0.8792198,-1.1993065,-0.2391944,180.0,180.0,540.0,0.92830473,0.07169529,0.20151517,0.79848486,6.0000005
-0.26415893,0.39279398,-1.464368,25.0,330.0,60.0,0.8010885,0.1989115,0.7553353,0.24466473,22.0
-1.83271,-1.2977562,0.8134761,150.0,150.0,0.05,0.81060135,0.18939866,0.6883828,0.31161723,7.11
-0.33699745,0.7003148,1.2370911,90.0,90.0,6.0,0.837715,0.16228496,0.6717704,0.32822955,20.949999
-0.5639342,-1.3849308,-1.5970459,250.0,250.0,60.0,0.78517795,0.21482207,0.6537943,0.34620574,11.96
0.37322962,-1.6499118,-1.1676538,25.0,300.0,30.0,0.7992306,0.20076942,0.76524746,0.23475257,9.44
-1.0620083,-0.5497717,-0.7418189,25.0,180.0,60.0,0.8411421,0.15885782,0.6876864,0.31231365,16.4
2.287703,-0.90893716,-0.10390871,205.0,205.0,0.083,0.7848695,0.21513055,0.69852,0.30147997,2.7
2.3460915,-0.8862168,-1.0030315,260.0,260.0,2.0,0.75745726,0.24254277,0.7068825,0.29311758,5.23
2.5974307,-1.3069326,-0.84431326,250.0,250.0,1.0,0.76235205,0.23764798,0.7059223,0.2940777,2.2699997
2.5974307,-1.3057201,-0.9510805,250.0,250.0,5.0,0.763951,0.236049,0.7025346,0.2974654,2.7099998
0.12961115,-0.85203683,-0.78725284,100.0,250.0,30.0,0.80086696,0.19913308,0.72417367,0.27582636,9.03
1.9868374,-1.2260542,-0.40004075,200.0,220.0,2.0,0.78186136,0.21813858,0.7054064,0.29459357,4.0000005
2.287703,-0.90452725,-0.22044525,205.0,205.0,5.0,0.78669983,0.21330012,0.694293,0.30570695,3.6999996
-0.17423266,-1.4857424,-0.33059567,200.0,200.0,10.0,0.7909605,0.20903951,0.6890301,0.31096992,7.9500003
-3.519682,-0.43895134,1.0481477,120.0,120.0,0.167,0.823654,0.17634599,0.6826566,0.3173434,27.08
1.1545055,-0.48181504,-0.57284987,160.0,160.0,40.0,0.81953996,0.18046005,0.6544874,0.34551263,8.75
-1.357976,-0.78957784,-0.0786512,200.0,200.0,0.33,0.78740245,0.2125975,0.69739175,0.30260825,9.7
-1.0048336,-1.7941047,-0.6765324,240.0,240.0,0.5,0.7673758,0.23262414,0.70453733,0.29546267,8.24
0.84679663,-1.7472737,-0.52219707,160.0,160.0,90.0,0.83532023,0.16467983,0.6071902,0.39280978,4.5300007
0.14382733,-0.96711785,-1.9594346,300.0,300.0,75.0,0.76567906,0.23432101,0.64981925,0.35018077,17.0
0.7273143,0.28818575,-1.4330218,25.0,300.0,180.0,0.8472544,0.15274563,0.63916636,0.36083362,20.0
3.3381593,-0.07635679,0.1121251,105.0,105.0,60.0,0.8477662,0.15223372,0.6247304,0.3752696,5.92
-0.49532914,-1.644934,1.4300191,25.0,25.0,10.0,0.8628226,0.13717742,0.6555258,0.34447417,3.28
-1.4500655,-0.63446736,-0.84769416,180.0,180.0,20.0,0.80391127,0.19608878,0.67645687,0.32354307,14.7
1.1545055,-0.2995458,0.10025814,140.0,140.0,40.0,0.827971,0.17202903,0.65054417,0.3494558,9.31
-1.9747276,-1.6403422,1.44066,25.0,25.0,0.0167,0.8601883,0.13981164,0.6646335,0.33536646,3.6999996
-1.8019755,-0.094108574,-1.9183245,360.0,360.0,60.0,0.7264439,0.2735561,0.6751145,0.32488555,20.0
3.6051545,-1.2178264,-1.4851382,280.0,280.0,20.0,0.75408447,0.24591558,0.6951888,0.30481118,3.26
-0.9579921,-0.19468808,-1.8943212,300.0,300.0,60.0,0.7596748,0.24032517,0.6635683,0.3364317,20.0
-1.9191496,-1.5622786,1.44066,25.0,25.0,0.0167,0.8601883,0.13981164,0.6646335,0.33536646,3.5000002
3.0019646,-0.69982755,-1.2600192,210.0,210.0,60.0,0.80412257,0.19587745,0.64588,0.35412005,4.15
-1.6142938,-1.6299566,0.93427056,145.0,145.0,0.017,0.81280947,0.18719056,0.68747824,0.31252176,5.9800005
1.7623365,-1.2728536,-1.1079285,250.0,250.0,30.0,0.7737754,0.22622462,0.68086356,0.3191364,6.8
